asn creation,asn_req,asn_rep,asn_tx,src,dest,owner,succes,numAttempts,colision,nb_req,req_1,req_2,req_3,req_4,nb_rep,rep_1,rep_2,rep_3,rep_4,queuePos,nbCellsReq,nbCellsRep,slot1,ch1,s1,slot2,ch2,s2,slot3,ch3,s3,state,nb_sibl,nb_fils,diff_asn
1221,1299,1583,,b381,b868,b868,1,1,,2,1,1,,,2,,,,,"[1, 1]",1,1,177,2,0,163,12,0,93,11,1,4,2,,
1221,1339,1562,,8772,b868,b868,1,1,,2,1,1,,,1,,,,,"[2, 2]",1,1,188,15,0,38,14,0,141,9,1,4,2,,
1221,2407,,,1162,b868,b868,0,1,,4,1,2,3,1,0,,,,,[0],1,,174,7,0,64,14,0,89,7,0,-1,2,,
1627,1664,1705,,c280,8772,b868,1,1,,1,2,,,,1,,,,,"[1, 1]",1,1,148,0,0,36,6,0,21,7,1,4,0,,
1830,1867,2233,,c280,8772,b868,1,1,,1,1,1,1,,3,,,,,"[1, 1]",1,1,93,6,0,4,13,0,45,4,1,4,0,,
2236,2577,2780,,8772,b868,8772,1,1,,1,1,,,,1,,,,,"[1, 1]",1,1,153,15,0,35,10,0,181,12,1,4,2,,
2439,4116,,,1162,b868,b868,0,2,,3,1,1,1,,0,,,,,[0],1,,140,5,0,149,3,0,55,14,0,-1,2,,
2845,5002,,,8772,b868,8772,0,1,,2,1,1,,,0,,,,,[1],1,,146,14,0,70,15,0,128,1,0,-1,2,,
3048,3138,3341,,b381,b868,b381,1,1,,1,1,,,,1,,,,,"[1, 1]",1,1,202,11,0,138,15,0,13,7,1,4,2,,
3251,3938,4141,,c280,b868,b868,1,1,,4,1,1,1,1,2,,,,,"[2, 2]",1,1,152,1,0,197,12,0,101,14,1,4,3,,
4266,,,,c280,b868,c280,0,1,,4,,,,,0,,,,,[],1,,122,15,0,84,3,0,202,1,0,-3,3,,
4266,5115,5399,,1162,b868,b868,1,1,,3,1,2,1,,1,,,,,"[2, 2]",1,1,133,6,0,139,2,0,58,3,1,4,3,,
5078,6231,8464,,8772,b868,8772,1,2,,1,2,2,1,,3,,,,,"[1, 1]",1,1,150,5,0,56,0,0,166,9,1,4,3,,
5484,5539,5742,,1162,b868,1162,1,1,,1,1,,,,1,,,,,"[1, 1]",1,1,27,9,0,150,2,0,107,2,1,4,3,,
5890,6130,6171,,1162,b381,b868,1,1,,2,1,1,,,1,,,,,"[1, 1]",1,1,189,12,0,191,11,0,95,11,1,4,0,,
6296,6388,6794,,1162,b381,1162,1,1,,1,2,1,,,2,,,,,"[2, 2]",1,1,72,4,0,124,10,0,76,6,1,4,0,,
6296,8096,,,c280,8772,c280,0,1,,0,,,,,0,,,,,[0],1,,150,7,0,62,6,0,146,6,0,-1,0,,
6905,,,,1162,b381,1162,0,1,,1,,,,,0,,,,,[],1,,67,0,0,153,4,0,89,14,0,-3,0,,
8123,8368,8977,,c280,8772,c280,1,2,,1,1,1,1,,3,,,,,"[8, 8]",1,1,20,1,0,94,8,0,144,13,1,4,1,,
8529,9276,9479,,8772,b868,8772,1,1,,1,1,,,,1,,,,,"[2, 2]",1,1,156,3,0,98,12,0,174,13,1,4,1,,
9138,9180,9789,,c280,8772,c280,1,1,,1,1,1,1,,3,,,,,"[11, 11]",1,1,46,14,0,47,6,0,153,1,1,4,1,,
9341,9586,10577,,c280,8772,c280,0,1,,1,1,2,1,1,4,,,,,"[10, 10]",1,1,19,7,0,25,1,0,73,2,1,-2,1,,
9544,9682,9885,,8772,b868,8772,1,1,,1,1,,,,1,,,,,"[1, 1]",1,1,167,10,0,100,14,0,58,1,1,4,1,,
9950,10088,10291,,8772,b868,8772,1,1,,1,1,,,,1,,,,,"[1, 1]",1,1,150,7,0,93,3,0,184,15,1,4,1,,
9950,11194,,,c280,8772,c280,0,2,,1,2,,,,0,,,,,[3],1,,154,14,0,68,14,0,4,4,0,-1,1,,
9950,12098,,,1162,8772,b868,0,1,,2,2,1,,,0,,,,,[5],1,,9,10,0,170,12,0,55,0,0,-1,1,,
10356,11103,11306,,8772,b868,c280,1,1,,1,1,,,,1,,,,,"[1, 1]",1,1,185,8,0,110,5,0,170,0,1,4,1,,
11371,11509,12118,,8772,b868,c280,1,1,,1,2,1,,,2,,,,,"[1, 1]",1,1,34,14,0,17,4,0,105,0,1,4,1,,
12589,12657,,,1162,8772,b868,0,1,,0,,,,,0,,,,,[5],1,,149,2,0,117,7,0,154,1,0,-1,1,,
12792,13195,13398,,1162,8772,b868,1,2,,4,1,1,1,1,3,,,,,"[1, 1]",1,1,129,13,0,13,3,0,138,2,1,4,1,,
13401,13536,14754,,1162,8772,1162,1,1,,1,2,2,2,1,4,,,,,"[1, 1]",1,1,145,3,0,148,14,0,65,12,1,4,1,,
14822,15160,15972,,1162,8772,1162,1,1,,1,2,1,,,2,,,,,"[4, 4]",1,1,80,7,0,106,7,0,152,11,1,4,1,,
15025,15163,15366,,8772,b868,1162,1,1,,1,1,,,,1,,,,,"[1, 1]",1,1,58,12,0,11,0,0,181,4,1,4,1,,
16040,16378,16581,,1162,8772,1162,1,1,,1,1,,,,1,,,,,"[6, 6]",1,1,108,0,0,4,1,0,62,14,1,4,1,,
16040,16381,17396,,8772,b868,1162,1,1,,1,2,1,,,2,,,,,"[1, 1]",1,1,28,10,0,5,5,0,61,10,1,4,1,,
16649,17599,18005,,8772,b868,1162,1,1,,1,2,1,,,2,,,,,"[1, 1]",1,1,22,9,0,134,10,0,186,14,1,4,1,,
16649,18738,,,1162,8772,1162,0,1,,3,1,1,1,,0,,,,,[4],1,,186,0,0,148,3,0,199,7,0,-1,1,,
65775,,,,c280,b868,c280,0,1,,3,,,,,0,,,,,[],1,,34,10,0,95,9,0,119,14,0,-3,2,,
67196,67238,68432,,c280,8772,c280,0,1,,1,1,1,1,1,4,,,,,"[2, 2]",1,1,15,14,0,61,5,0,197,13,1,-2,1,,
69226,69268,70283,,c280,8772,c280,1,2,,1,1,1,,,2,,,,,"[5, 5]",1,1,50,15,0,139,5,0,125,15,1,4,1,,
70444,70486,70689,,c280,8772,c280,1,1,,1,1,1,,,2,,,,,"[5, 5]",1,1,58,15,0,176,6,0,116,4,1,4,1,,
206657,206755,209192,,c280,b868,c280,0,2,,1,1,1,1,,3,,,,,"[1, 1]",1,1,80,9,0,31,11,0,13,13,1,-2,2,,
208078,208973,,,c280,b868,c280,0,3,,4,1,1,1,1,0,,,,,[3],1,,86,13,0,191,10,0,51,9,0,-1,2,,
210108,210409,212846,,c280,b868,c280,0,3,,2,1,1,,,1,,,,,"[1, 1]",1,1,70,2,0,30,15,0,164,7,1,-2,2,,
211935,212844,215281,,c280,b868,c280,0,4,,1,1,1,,,2,,,,,"[3, 3]",1,1,111,2,0,100,15,0,22,8,1,-2,2,,
212958,215139,,,b868,c280,8772,0,1,,2,1,1,,,0,,,,,[0],1,,126,10,0,34,6,0,31,1,0,-1,0,,
214980,215109,,,c280,8772,c280,0,1,,0,,,,,0,,,,,[3],1,,130,12,0,26,12,0,190,15,0,-1,1,,
215183,215225,216849,,c280,8772,c280,1,2,,1,1,1,1,,3,,,,,"[4, 4]",1,1,144,9,0,26,8,0,86,7,1,4,1,,
215191,216456,,,b868,c280,8772,0,2,,0,,,,,0,,,,,[0],1,,6,0,0,33,8,0,166,1,0,-1,0,,
217010,217148,,,c280,8772,c280,0,1,,1,1,,,,0,,,,,[9],1,,26,7,0,25,13,0,191,6,0,-1,1,,
217213,217255,217458,,c280,8772,c280,1,2,,1,1,1,,,2,,,,,"[2, 2]",1,1,169,0,0,201,3,0,14,14,1,4,1,,
217619,217661,217662,,c280,8772,c280,0,1,,1,1,,,,0,,,,,"[2, 5]",1,1,109,2,0,117,0,0,64,9,1,-2,1,,
218025,218067,218270,,c280,8772,c280,1,2,,1,1,1,,,2,,,,,"[2, 2]",1,1,124,0,0,69,9,0,34,1,1,4,1,,
218431,218473,218879,,c280,8772,c280,1,1,,1,1,1,1,,3,,,,,"[2, 2]",1,1,202,15,0,60,10,0,4,6,1,4,1,,
219040,219082,219488,,c280,8772,c280,1,1,,1,1,1,,,2,,,,,"[3, 3]",1,1,88,14,0,149,2,0,173,14,1,4,1,,
227160,227258,229695,,c280,b868,c280,0,1,,1,1,,,,1,,,,,"[3, 3]",1,1,63,2,0,16,8,0,103,1,1,-2,2,,
228581,230462,,,c280,b868,c280,0,2,,0,,,,,0,,,,,[5],1,,67,15,0,22,3,0,85,4,0,-1,2,,
230611,230658,,,c280,b868,c280,0,3,,0,,,,,0,,,,,[5],1,,31,10,0,158,0,0,103,6,0,-1,2,,
230814,230912,233349,,c280,b868,c280,0,4,,1,1,1,,,2,,,,,"[1, 1]",1,1,130,13,0,173,7,0,60,9,1,-2,2,,
233047,233145,235582,,c280,b868,c280,0,5,,1,1,1,1,,3,,,,,"[4, 4]",1,1,108,13,0,10,15,0,114,9,1,-2,2,,
234874,234916,236110,,c280,8772,c280,0,1,,1,1,1,1,1,4,,,,,"[2, 2]",1,1,95,6,0,38,2,0,27,13,1,-2,1,,
235077,236740,,,c280,8772,c280,0,2,,4,1,1,1,1,0,,,,,[7],1,,42,2,0,186,12,0,98,8,0,-1,1,,
236904,236991,,,c280,8772,c280,0,3,,0,,,,,0,,,,,[7],1,,38,3,0,131,6,0,83,4,0,-1,1,,
237107,238367,238773,,c280,8772,c280,1,4,,1,1,1,1,,3,,,,,"[1, 1]",1,1,66,3,0,91,2,0,184,15,1,4,1,,
238934,238976,239179,,c280,8772,c280,1,1,,1,1,1,,,2,,,,,"[1, 1]",1,1,69,2,0,70,11,0,176,8,1,4,1,,
239340,239382,240194,,c280,8772,c280,1,1,,1,1,2,1,1,4,,,,,"[1, 1]",1,1,140,6,0,158,8,0,195,3,1,4,1,,
240355,240397,240600,,c280,8772,c280,1,1,,1,1,1,,,2,,,,,"[1, 1]",1,1,178,4,0,134,2,0,133,9,1,4,1,,
242588,243943,,,c280,b868,c280,0,1,,2,1,1,,,0,,,,,[1],1,,92,8,0,109,14,0,119,8,0,-1,2,,
244009,246137,246340,,c280,b868,c280,1,2,,1,1,,,,1,,,,,"[3, 3]",1,1,113,13,0,165,15,0,197,12,1,4,2,,
246242,246545,,,c280,b868,c280,0,1,,0,,,,,0,,,,,[1],1,,47,12,0,130,0,0,50,11,0,-1,2,,
246445,248246,,,c280,b868,c280,0,2,,2,1,1,,,0,,,,,[1],1,,92,5,0,129,10,0,85,6,0,-1,2,,
246648,250089,,,c280,b868,c280,0,3,,2,1,1,,,0,,,,,[1],1,,200,13,0,124,4,0,146,11,0,-1,2,,
248272,252035,,,c280,b868,c280,0,4,,4,1,1,2,1,0,,,,,[1],1,,82,3,0,151,5,0,88,13,0,-1,2,,
250099,254052,,,c280,b868,c280,0,5,,4,1,1,1,1,0,,,,,[1],1,,20,5,0,74,1,0,156,0,0,-1,2,,
252129,254054,255475,,c280,b868,c280,-1,6,,2,2,1,,,2,,,,,"[1, 1]",1,1,172,11,0,10,6,0,151,11,0,4,2,,
254159,256852,,,c280,b868,c280,0,1,,3,2,1,1,,0,,,,,[1],1,,148,12,0,154,7,0,194,9,0,-1,2,,
255580,,,,c280,b868,c280,0,2,,3,,,,,0,,,,,[],1,,154,6,0,138,13,0,76,8,0,-3,2,,
257001,,,,c280,b868,c280,0,3,,3,,,,,0,,,,,[],1,,160,0,0,155,14,0,152,12,0,-3,2,,
258625,260088,,,c280,8772,c280,0,1,,1,1,,,,0,,,,,[11],1,,6,9,0,137,4,0,79,6,0,-1,1,,
260249,260697,261306,,c280,8772,c280,1,2,,1,1,2,1,,3,,,,,"[1, 1]",1,1,180,8,0,201,13,0,48,5,1,4,1,,
261467,261712,264148,,c280,8772,c280,-1,1,,1,1,1,,,2,,,,,"[1, 6]",1,1,148,11,0,180,3,0,71,4,0,4,1,,
263294,263336,264149,,c280,8772,c280,0,1,,1,1,1,,,2,,,,,"[6, 1]",1,1,151,10,0,130,8,0,123,13,1,-2,1,,
264309,264351,264757,,c280,8772,c280,0,2,,1,1,2,1,2,4,,,,,"[1, 1]",1,1,149,9,0,77,3,0,31,4,1,-2,1,,
367230,367328,369765,,c280,b868,c280,0,4,,1,1,2,2,,3,,,,,"[1, 1]",1,1,149,2,0,147,7,0,199,14,1,-2,2,,
369463,369505,369708,,c280,8772,c280,1,3,,1,1,1,,,2,,,,,"[1, 1]",1,1,87,12,0,61,13,0,26,11,1,4,1,,
369869,369911,370520,,c280,8772,c280,1,1,,1,1,1,1,,3,,,,,"[1, 1]",1,1,160,9,0,183,13,0,124,7,1,4,1,,
382455,384224,,,c280,b868,c280,0,1,,1,2,,,,0,,,,,[1],1,,15,14,0,166,12,0,87,14,0,-1,2,,
385297,385801,388238,,c280,b868,c280,0,2,,2,1,1,,,2,,,,,"[1, 1]",1,1,137,11,0,146,8,0,18,14,1,-2,2,,
387327,389204,,,c280,b868,c280,0,3,,2,1,1,,,0,,,,,[1],1,,84,13,0,125,3,0,73,7,0,-1,2,,
389357,391282,393719,,c280,b868,c280,0,4,,2,1,1,,,2,,,,,"[2, 2]",1,1,188,12,0,41,2,0,21,11,1,-2,2,,
392605,392702,394328,,c280,b868,c280,0,5,,1,1,1,,,2,,,,,"[4, 1]",1,1,181,12,0,100,14,0,13,3,1,-2,2,,
392816,394846,,,b868,c280,8772,0,1,,2,1,1,,,0,,,,,[3],1,,17,8,0,47,13,0,67,7,0,-1,0,,
394838,394880,395083,,c280,8772,c280,1,1,,1,1,1,,,2,,,,,"[1, 1]",1,1,4,3,0,195,1,0,70,13,1,4,1,,
395049,396662,,,b868,c280,8772,0,2,,1,1,,,,0,,,,,[1],1,,96,6,0,35,7,0,65,5,0,-1,0,,
395244,395286,395692,,c280,8772,c280,1,1,,1,1,1,,,2,,,,,"[2, 2]",1,1,55,14,0,132,14,0,86,0,1,4,1,,
395853,395895,396098,,c280,8772,c280,1,1,,1,1,1,,,2,,,,,"[1, 1]",1,1,158,15,0,61,15,0,173,4,1,4,1,,
396259,396504,396910,,c280,8772,c280,1,1,,1,1,1,,,2,,,,,"[2, 2]",1,1,139,8,0,145,11,0,93,8,1,4,1,,
1221,1339,1562,1258,8772,b868,b868,1,1,3,2,,,,,,,,,,"[2, 2]",1,1,188,15,0,38,14,0,141,9,1,4,2,,
1221,1339,1562,1339,8772,b868,b868,1,1,1,2,,,,,,,,,,"[2, 2]",1,1,188,15,0,38,14,0,141,9,1,4,2,,
1221,1299,1583,1258,b381,b868,b868,1,1,3,2,,,,,,,,,,"[1, 1]",1,1,177,2,0,163,12,0,93,11,1,4,2,,
1221,1299,1583,1299,b381,b868,b868,1,1,1,2,,,,,,,,,,"[1, 1]",1,1,177,2,0,163,12,0,93,11,1,4,2,,
1221,2407,,1282,1162,b868,b868,0,1,1,4,,,,,,,,,,[0],1,,174,7,0,64,14,0,89,7,0,-1,2,,
1221,2407,,1461,1162,b868,b868,0,1,2,4,,,,,,,,,,[0],1,,174,7,0,64,14,0,89,7,0,-1,2,,
1221,2407,,1867,1162,b868,b868,0,1,3,4,,,,,,,,,,[0],1,,174,7,0,64,14,0,89,7,0,-1,2,,
1221,2407,,2407,1162,b868,b868,0,1,1,4,,,,,,,,,,[0],1,,174,7,0,64,14,0,89,7,0,-1,2,,
1627,1664,1705,1664,c280,8772,b868,1,1,1,1,,,,,,,,,,"[1, 1]",1,1,148,0,0,36,6,0,21,7,1,4,0,,
1830,1867,2233,1867,c280,8772,b868,1,1,3,1,,,,,,,,,,"[1, 1]",1,1,93,6,0,4,13,0,45,4,1,4,0,,
2236,2577,2780,2577,8772,b868,8772,1,1,1,1,,,,,,,,,,"[1, 1]",1,1,153,15,0,35,10,0,181,12,1,4,2,,
2439,4116,,2576,1162,b868,b868,0,2,1,3,,,,,,,,,,[0],1,,140,5,0,149,3,0,55,14,0,-1,2,,
2439,4116,,3100,1162,b868,b868,0,2,1,3,,,,,,,,,,[0],1,,140,5,0,149,3,0,55,14,0,-1,2,,
2439,4116,,3794,1162,b868,b868,0,2,1,3,,,,,,,,,,[0],1,,140,5,0,149,3,0,55,14,0,-1,2,,
2845,5002,,4391,8772,b868,8772,0,1,1,2,,,,,,,,,,[1],1,,146,14,0,70,15,0,128,1,0,-1,2,,
2845,5002,,4797,8772,b868,8772,0,1,1,2,,,,,,,,,,[1],1,,146,14,0,70,15,0,128,1,0,-1,2,,
3048,3138,3341,3138,b381,b868,b381,1,1,1,1,,,,,,,,,,"[1, 1]",1,1,202,11,0,138,15,0,13,7,1,4,2,,
3251,3938,4141,3288,c280,b868,b868,1,1,1,4,,,,,,,,,,"[2, 2]",1,1,152,1,0,197,12,0,101,14,1,4,3,,
3251,3938,4141,3329,c280,b868,b868,1,1,1,4,,,,,,,,,,"[2, 2]",1,1,152,1,0,197,12,0,101,14,1,4,3,,
3251,3938,4141,3349,c280,b868,b868,1,1,1,4,,,,,,,,,,"[2, 2]",1,1,152,1,0,197,12,0,101,14,1,4,3,,
3251,3938,4141,3938,c280,b868,b868,1,1,1,4,,,,,,,,,,"[2, 2]",1,1,152,1,0,197,12,0,101,14,1,4,3,,
4266,5115,5399,4524,1162,b868,b868,1,1,1,3,,,,,,,,,,"[2, 2]",1,1,133,6,0,139,2,0,58,3,1,4,3,,
4266,5115,5399,4587,1162,b868,b868,1,1,2,3,,,,,,,,,,"[2, 2]",1,1,133,6,0,139,2,0,58,3,1,4,3,,
4266,5115,5399,5115,1162,b868,b868,1,1,1,3,,,,,,,,,,"[2, 2]",1,1,133,6,0,139,2,0,58,3,1,4,3,,
5078,6231,8464,6231,8772,b868,8772,1,2,1,1,,,,,,,,,,"[1, 1]",1,1,150,5,0,56,0,0,166,9,1,4,3,,
5484,5539,5742,5539,1162,b868,1162,1,1,1,1,,,,,,,,,,"[1, 1]",1,1,27,9,0,150,2,0,107,2,1,4,3,,
5890,6130,6171,5927,1162,b381,b868,1,1,3,2,,,,,,,,,,"[1, 1]",1,1,189,12,0,191,11,0,95,11,1,4,0,,
5890,6130,6171,6130,1162,b381,b868,1,1,1,2,,,,,,,,,,"[1, 1]",1,1,189,12,0,191,11,0,95,11,1,4,0,,
6296,6388,6794,6388,1162,b381,1162,1,1,1,1,,,,,,,,,,"[2, 2]",1,1,72,4,0,124,10,0,76,6,1,4,0,,
8123,8368,8977,8368,c280,8772,c280,1,2,1,1,,,,,,,,,,"[8, 8]",1,1,20,1,0,94,8,0,144,13,1,4,1,,
8529,9276,9479,9276,8772,b868,8772,1,1,1,1,,,,,,,,,,"[2, 2]",1,1,156,3,0,98,12,0,174,13,1,4,1,,
9138,9180,9789,9180,c280,8772,c280,1,1,1,1,,,,,,,,,,"[11, 11]",1,1,46,14,0,47,6,0,153,1,1,4,1,,
9341,9586,10577,9586,c280,8772,c280,0,1,1,1,,,,,,,,,,"[10, 10]",1,1,19,7,0,25,1,0,73,2,1,-2,1,,
9544,9682,9885,9682,8772,b868,8772,1,1,1,1,,,,,,,,,,"[1, 1]",1,1,167,10,0,100,14,0,58,1,1,4,1,,
9950,12098,,10109,1162,8772,b868,0,1,2,2,,,,,,,,,,[5],1,,9,10,0,170,12,0,55,0,0,-1,1,,
9950,12098,,10159,1162,8772,b868,0,1,1,2,,,,,,,,,,[5],1,,9,10,0,170,12,0,55,0,0,-1,1,,
9950,11194,,9992,c280,8772,c280,0,2,2,1,,,,,,,,,,[3],1,,154,14,0,68,14,0,4,4,0,-1,1,,
9950,10088,10291,10088,8772,b868,8772,1,1,1,1,,,,,,,,,,"[1, 1]",1,1,150,7,0,93,3,0,184,15,1,4,1,,
10356,11103,11306,11103,8772,b868,c280,1,1,1,1,,,,,,,,,,"[1, 1]",1,1,185,8,0,110,5,0,170,0,1,4,1,,
11371,11509,12118,11509,8772,b868,c280,1,1,1,1,,,,,,,,,,"[1, 1]",1,1,34,14,0,17,4,0,105,0,1,4,1,,
12792,13195,13398,12829,1162,8772,b868,1,2,2,4,,,,,,,,,,"[1, 1]",1,1,129,13,0,13,3,0,138,2,1,4,1,,
12792,13195,13398,13113,1162,8772,b868,1,2,2,4,,,,,,,,,,"[1, 1]",1,1,129,13,0,13,3,0,138,2,1,4,1,,
12792,13195,13398,13121,1162,8772,b868,1,2,1,4,,,,,,,,,,"[1, 1]",1,1,129,13,0,13,3,0,138,2,1,4,1,,
12792,13195,13398,13195,1162,8772,b868,1,2,1,4,,,,,,,,,,"[1, 1]",1,1,129,13,0,13,3,0,138,2,1,4,1,,
13401,13536,14754,13536,1162,8772,1162,1,1,1,1,,,,,,,,,,"[1, 1]",1,1,145,3,0,148,14,0,65,12,1,4,1,,
14822,15160,15972,15160,1162,8772,1162,1,1,1,1,,,,,,,,,,"[4, 4]",1,1,80,7,0,106,7,0,152,11,1,4,1,,
15025,15163,15366,15163,8772,b868,1162,1,1,1,1,,,,,,,,,,"[1, 1]",1,1,58,12,0,11,0,0,181,4,1,4,1,,
16040,16381,17396,16381,8772,b868,1162,1,1,1,1,,,,,,,,,,"[1, 1]",1,1,28,10,0,5,5,0,61,10,1,4,1,,
16040,16378,16581,16378,1162,8772,1162,1,1,1,1,,,,,,,,,,"[6, 6]",1,1,108,0,0,4,1,0,62,14,1,4,1,,
16649,17599,18005,17599,8772,b868,1162,1,1,1,1,,,,,,,,,,"[1, 1]",1,1,22,9,0,134,10,0,186,14,1,4,1,,
16649,18738,,16784,1162,8772,1162,0,1,1,3,,,,,,,,,,[4],1,,186,0,0,148,3,0,199,7,0,-1,1,,
16649,18738,,16987,1162,8772,1162,0,1,1,3,,,,,,,,,,[4],1,,186,0,0,148,3,0,199,7,0,-1,1,,
16649,18738,,17393,1162,8772,1162,0,1,1,3,,,,,,,,,,[4],1,,186,0,0,148,3,0,199,7,0,-1,1,,
67196,67238,68432,67238,c280,8772,c280,0,1,1,1,,,,,,,,,,"[2, 2]",1,1,15,14,0,61,5,0,197,13,1,-2,1,,
69226,69268,70283,69268,c280,8772,c280,1,2,1,1,,,,,,,,,,"[5, 5]",1,1,50,15,0,139,5,0,125,15,1,4,1,,
70444,70486,70689,70486,c280,8772,c280,1,1,1,1,,,,,,,,,,"[5, 5]",1,1,58,15,0,176,6,0,116,4,1,4,1,,
206657,206755,209192,206755,c280,b868,c280,0,2,1,1,,,,,,,,,,"[1, 1]",1,1,80,9,0,31,11,0,13,13,1,-2,2,,
208078,208973,,208161,c280,b868,c280,0,3,1,4,,,,,,,,,,[3],1,,86,13,0,191,10,0,51,9,0,-1,2,,
208078,208973,,208567,c280,b868,c280,0,3,1,4,,,,,,,,,,[3],1,,86,13,0,191,10,0,51,9,0,-1,2,,
208078,208973,,208770,c280,b868,c280,0,3,1,4,,,,,,,,,,[3],1,,86,13,0,191,10,0,51,9,0,-1,2,,
208078,208973,,208973,c280,b868,c280,0,3,1,4,,,,,,,,,,[3],1,,86,13,0,191,10,0,51,9,0,-1,2,,
210108,210409,212846,210206,c280,b868,c280,0,3,1,2,,,,,,,,,,"[1, 1]",1,1,70,2,0,30,15,0,164,7,1,-2,2,,
210108,210409,212846,210409,c280,b868,c280,0,3,1,2,,,,,,,,,,"[1, 1]",1,1,70,2,0,30,15,0,164,7,1,-2,2,,
211935,212844,215281,212844,c280,b868,c280,0,4,1,1,,,,,,,,,,"[3, 3]",1,1,111,2,0,100,15,0,22,8,1,-2,2,,
212958,215139,,214063,b868,c280,8772,0,1,1,2,,,,,,,,,,[0],1,,126,10,0,34,6,0,31,1,0,-1,0,,
212958,215139,,214266,b868,c280,8772,0,1,1,2,,,,,,,,,,[0],1,,126,10,0,34,6,0,31,1,0,-1,0,,
215183,215225,216849,215225,c280,8772,c280,1,2,1,1,,,,,,,,,,"[4, 4]",1,1,144,9,0,26,8,0,86,7,1,4,1,,
217010,217148,,217052,c280,8772,c280,0,1,1,1,,,,,,,,,,[9],1,,26,7,0,25,13,0,191,6,0,-1,1,,
217213,217255,217458,217255,c280,8772,c280,1,2,1,1,,,,,,,,,,"[2, 2]",1,1,169,0,0,201,3,0,14,14,1,4,1,,
217619,217661,217662,217661,c280,8772,c280,0,1,1,1,,,,,,,,,,"[2, 5]",1,1,109,2,0,117,0,0,64,9,1,-2,1,,
218025,218067,218270,218067,c280,8772,c280,1,2,1,1,,,,,,,,,,"[2, 2]",1,1,124,0,0,69,9,0,34,1,1,4,1,,
218431,218473,218879,218473,c280,8772,c280,1,1,1,1,,,,,,,,,,"[2, 2]",1,1,202,15,0,60,10,0,4,6,1,4,1,,
219040,219082,219488,219082,c280,8772,c280,1,1,1,1,,,,,,,,,,"[3, 3]",1,1,88,14,0,149,2,0,173,14,1,4,1,,
227160,227258,229695,227258,c280,b868,c280,0,1,1,1,,,,,,,,,,"[3, 3]",1,1,63,2,0,16,8,0,103,1,1,-2,2,,
230814,230912,233349,230912,c280,b868,c280,0,4,1,1,,,,,,,,,,"[1, 1]",1,1,130,13,0,173,7,0,60,9,1,-2,2,,
233047,233145,235582,233145,c280,b868,c280,0,5,1,1,,,,,,,,,,"[4, 4]",1,1,108,13,0,10,15,0,114,9,1,-2,2,,
234874,234916,236110,234916,c280,8772,c280,0,1,1,1,,,,,,,,,,"[2, 2]",1,1,95,6,0,38,2,0,27,13,1,-2,1,,
235077,236740,,235116,c280,8772,c280,0,2,1,4,,,,,,,,,,[7],1,,42,2,0,186,12,0,98,8,0,-1,1,,
235077,236740,,235319,c280,8772,c280,0,2,1,4,,,,,,,,,,[7],1,,42,2,0,186,12,0,98,8,0,-1,1,,
235077,236740,,236334,c280,8772,c280,0,2,1,4,,,,,,,,,,[7],1,,42,2,0,186,12,0,98,8,0,-1,1,,
235077,236740,,236740,c280,8772,c280,0,2,1,4,,,,,,,,,,[7],1,,42,2,0,186,12,0,98,8,0,-1,1,,
237107,238367,238773,238367,c280,8772,c280,1,4,1,1,,,,,,,,,,"[1, 1]",1,1,66,3,0,91,2,0,184,15,1,4,1,,
238934,238976,239179,238976,c280,8772,c280,1,1,1,1,,,,,,,,,,"[1, 1]",1,1,69,2,0,70,11,0,176,8,1,4,1,,
239340,239382,240194,239382,c280,8772,c280,1,1,1,1,,,,,,,,,,"[1, 1]",1,1,140,6,0,158,8,0,195,3,1,4,1,,
240355,240397,240600,240397,c280,8772,c280,1,1,1,1,,,,,,,,,,"[1, 1]",1,1,178,4,0,134,2,0,133,9,1,4,1,,
242588,243943,,242677,c280,b868,c280,0,1,1,2,,,,,,,,,,[1],1,,92,8,0,109,14,0,119,8,0,-1,2,,
