time,asn,src_res,dest_res,src_pkt,dest_pkt,command,status,ch1,slot1,ch2,slot2,ch3,slot3,id_res,succes,numAtt,state
"2017-08-23 16:37:07,019",4543,000c,0001,000c,0001,CELLADD_REQ,ENQUEUED,7,4,,,,,1,1,0,1
"2017-08-23 16:37:07,031",4543,000a,0001,000a,0001,CELLADD_REQ,ENQUEUED,10,14,10,5,,,2,1,0,1
"2017-08-23 16:37:07,036",4543,0009,0001,0009,0001,CELLADD_REQ,ENQUEUED,10,10,,,,,3,1,0,1
"2017-08-23 16:37:07,040",4543,0005,0001,0005,0001,CELLADD_REQ,ENQUEUED,6,4,5,8,9,10,4,1,0,1
"2017-08-23 16:37:07,045",4543,000f,0001,000f,0001,CELLADD_REQ,ENQUEUED,4,0,6,9,,,5,1,0,1
"2017-08-23 16:37:07,190",4554,0005,0001,0005,0001,CELLADD_REQ,TXED,,,,,,,,,1,2
"2017-08-23 16:37:07,184",4554,000c,0001,000c,0001,CELLADD_REQ,TXED,,,,,,,,,1,2
"2017-08-23 16:37:07,187",4554,0009,0001,0009,0001,CELLADD_REQ,TXED,,,,,,,,,1,2
"2017-08-23 16:37:07,173",4554,000a,0001,000a,0001,CELLADD_REQ,TXED,,,,,,,,,1,2
"2017-08-23 16:37:07,170",4554,000f,0001,000f,0001,CELLADD_REQ,TXED,,,,,,,5,1,1,2
"2017-08-23 16:37:07,180",4554,000f,0001,0001,000f,CELLADD_REQ,RCVD,,,,,,,5,1,0,3
"2017-08-23 16:37:07,181",4554,000f,0001,0001,000f,CELLADD_REP,ENQUEUED,6,9,,,,,5,1,0,4
"2017-08-23 16:37:07,317",4565,0005,0001,0005,0001,CELLADD_REQ,TXED,,,,,,,,,2,2
"2017-08-23 16:37:07,309",4565,000c,0001,000c,0001,CELLADD_REQ,TXED,,,,,,,,,2,2
"2017-08-23 16:37:07,313",4565,0009,0001,0009,0001,CELLADD_REQ,TXED,,,,,,,,,2,2
"2017-08-23 16:37:07,305",4565,000f,0001,0001,000f,CELLADD_REP,TXED,,,,,,,,,1,5
"2017-08-23 16:37:07,424",4576,000a,0001,0001,000a,CELLADD_REQ,RCVD,,,,,,,2,1,0,3
"2017-08-23 16:37:07,426",4576,000a,0001,0001,000a,CELLADD_REP,ENQUEUED,10,5,,,,,2,1,0,4
"2017-08-23 16:37:07,435",4576,000a,0001,000a,0001,CELLADD_REQ,TXED,,,,,,,2,1,2,2
"2017-08-23 16:37:07,678",4598,000f,0001,0001,000f,CELLADD_REP,TXED,6,9,,,,,5,1,2,5
"2017-08-23 16:37:07,669",4598,000f,0001,000f,0001,CELLADD_REP,RCVD,6,9,,,,,5,1,0,6
"2017-08-23 16:37:07,795",4609,000c,0001,000c,0001,CELLADD_REQ,TXED,,,,,,,,,3,2
"2017-08-23 16:37:07,798",4609,0009,0001,0009,0001,CELLADD_REQ,TXED,,,,,,,,,3,2
"2017-08-23 16:37:07,791",4609,000a,0001,0001,000a,CELLADD_REP,TXED,,,,,,,,,1,5
"2017-08-23 16:37:07,899",4620,000a,0001,0001,000a,CELLADD_REP,TXED,10,5,,,,,2,1,2,5
"2017-08-23 16:37:07,916",4620,000a,0001,000a,0001,CELLADD_REP,RCVD,10,5,,,,,2,1,0,6
"2017-08-23 16:37:08,128",4642,0005,0001,0005,0001,CELLADD_REQ,TXED,,,,,,,4,1,3,2
"2017-08-23 16:37:08,116",4642,0005,0001,0001,0005,CELLADD_REQ,RCVD,,,,,,,4,1,0,3
"2017-08-23 16:37:08,118",4642,0005,0001,0001,0005,CELLADD_REP,ENQUEUED,9,10,,,,,4,1,0,4
"2017-08-23 16:37:08,249",4653,0005,0001,0001,0005,CELLADD_REP,TXED,9,10,,,,,4,1,1,5
"2017-08-23 16:37:08,231",4653,0005,0001,0005,0001,CELLADD_REP,RCVD,9,10,,,,,4,1,0,6
"2017-08-23 16:37:08,360",4664,000c,0001,0001,000c,CELLADD_REP,ENQUEUED,7,4,,,,,1,1,0,4
"2017-08-23 16:37:08,370",4664,000c,0001,000c,0001,CELLADD_REQ,TXED,,,,,,,1,1,4,2
"2017-08-23 16:37:08,358",4664,000c,0001,0001,000c,CELLADD_REQ,RCVD,,,,,,,1,1,0,3
"2017-08-23 16:37:08,467",4675,000c,0001,0001,000c,CELLADD_REP,TXED,,,,,,,,,1,5
"2017-08-23 16:37:08,564",4686,000c,0001,0001,000c,CELLADD_REP,TXED,,,,,,,,,2,5
"2017-08-23 16:37:08,716",4697,0008,0005,0008,0005,CELLADD_REQ,ENQUEUED,4,8,6,8,,,6,1,0,1
"2017-08-23 16:37:08,824",4708,0008,0005,0008,0005,CELLADD_REQ,TXED,,,,,,,,,1,2
"2017-08-23 16:37:08,927",4719,0009,0001,0009,0001,CELLADD_REQ,TXED,,,,,,,3,1,4,2
"2017-08-23 16:37:08,914",4719,0009,0001,0001,0009,CELLADD_REQ,RCVD,,,,,,,3,1,0,3
"2017-08-23 16:37:08,916",4719,0009,0001,0001,0009,CELLADD_REP,ENQUEUED,,,,,,,3,1,0,4
"2017-08-23 16:37:08,932",4719,0008,0005,0008,0005,CELLADD_REQ,TXED,,,,,,,,,2,2
"2017-08-23 16:37:09,310",4752,000c,0001,0001,000c,CELLADD_REP,TXED,7,4,,,,,1,1,3,5
"2017-08-23 16:37:09,289",4752,000c,0001,000c,0001,CELLADD_REP,RCVD,7,4,,,,,1,1,0,6
"2017-08-23 16:37:09,408",4763,0009,0001,0009,0001,CELLADD_REQ,ENQUEUED,6,8,4,9,,,7,1,0,1
"2017-08-23 16:37:09,413",4763,0009,0001,0001,0009,CELLADD_REP,TXED,,,,,,,3,1,1,5
"2017-08-23 16:37:09,405",4763,0009,0001,0009,0001,CELLADD_REP,RCVD,,,,,,,3,1,0,6
"2017-08-23 16:37:09,501",4774,0009,0001,0009,0001,CELLADD_REQ,TXED,,,,,,,,,1,2
"2017-08-23 16:37:09,586",4785,0009,0001,0009,0001,CELLADD_REQ,TXED,,,,,,,,,2,2
"2017-08-23 16:37:09,599",4785,0008,0005,0008,0005,CELLADD_REQ,TXED,,,,,,,,,3,2
"2017-08-23 16:37:09,707",4796,0009,0001,0009,0001,CELLADD_REQ,TXED,,,,,,,7,1,3,2
"2017-08-23 16:37:09,692",4796,0009,0001,0001,0009,CELLADD_REQ,RCVD,,,,,,,7,1,0,3
"2017-08-23 16:37:09,693",4796,0009,0001,0001,0009,CELLADD_REP,ENQUEUED,4,9,,,,,7,1,0,4
"2017-08-23 16:37:09,819",4807,0009,0001,0001,0009,CELLADD_REP,TXED,,,,,,,,,1,5
"2017-08-23 16:37:10,053",4829,0009,0001,0009,0001,CELLADD_REP,RCVD,4,9,,,,,7,1,0,6
"2017-08-23 16:37:10,043",4829,0009,0001,0001,0009,CELLADD_REP,TXED,4,9,,,,,7,1,2,5
"2017-08-23 16:37:10,246",4851,0008,0005,0005,0008,CELLADD_REP,ENQUEUED,6,8,,,,,6,1,0,4
"2017-08-23 16:37:10,244",4851,0008,0005,0005,0008,CELLADD_REQ,RCVD,,,,,,,6,1,0,3
"2017-08-23 16:37:10,254",4851,0008,0005,0008,0005,CELLADD_REQ,TXED,,,,,,,6,1,4,2
"2017-08-23 16:37:10,340",4862,0008,0005,0005,0008,CELLADD_REP,TXED,,,,,,,,,1,5
"2017-08-23 16:37:10,445",4873,0008,0005,0008,0005,CELLADD_REP,RCVD,6,8,,,,,6,1,0,6
"2017-08-23 16:37:10,454",4873,0008,0005,0005,0008,CELLADD_REP,TXED,6,8,,,,,6,1,2,5
"2017-08-23 16:37:10,457",4873,0005,0001,0005,0001,CELLADD_REQ,ENQUEUED,7,15,10,6,,,8,1,0,1
"2017-08-23 16:37:10,535",4882,0005,0001,0005,0001,CELLADD_REQ,TXED,,,,,,,8,1,1,2
"2017-08-23 16:37:10,618",4882,0005,0001,0001,0005,CELLADD_REQ,RCVD,,,,,,,8,1,0,3
"2017-08-23 16:37:10,620",4884,0005,0001,0001,0005,CELLADD_REP,TXED,,,,,,,,,1,5
"2017-08-23 16:37:10,898",4906,0005,0001,0001,0005,CELLADD_REP,TXED,,,,,,,8,1,2,5
"2017-08-23 16:37:10,889",4906,0005,0001,0005,0001,CELLADD_REQ,ENQUEUED,10,2,,,,,9,1,0,1
"2017-08-23 16:37:11,057",4915,0005,0001,0001,0005,CELLADD_REQ,RCVD,,,,,,,9,1,0,3
"2017-08-23 16:37:10,999",4915,0005,0001,0005,0001,CELLADD_REQ,TXED,9,10,,,,,9,1,1,2
"2017-08-23 16:37:11,059",4917,0005,0001,0001,0005,CELLADD_REP,TXED,,,,,,,,,1,5
"2017-08-23 16:37:11,175",4928,0005,0001,0005,0001,CELLADD_REQ,ENQUEUED,8,11,,,,,10,0,0,1
"2017-08-23 16:37:11,183",4928,0005,0001,0001,0005,CELLADD_REP,TXED,,,,,,,9,1,2,5
"2017-08-23 16:37:11,290",4937,0005,0001,0005,0001,CELLADD_REQ,TXED,9,10,,,,,10,0,1,2
"2017-08-23 16:37:11,367",4937,0005,0001,0001,0005,CELLADD_REQ,RCVD,,,,,,,10,0,0,3
"2017-08-23 16:37:14,873",5207,0005,0001,0005,0001,CELLADD_REQ,ENQUEUED,5,1,5,1,,,11,1,0,1
"2017-08-23 16:37:14,986",5212,0005,0001,0005,0001,CELLADD_REQ,TXED,9,10,,,,,11,1,1,2
"2017-08-23 16:37:15,065",5212,0005,0001,0001,0005,CELLADD_REQ,RCVD,,,,,,,11,1,0,3
"2017-08-23 16:37:15,068",5214,0005,0001,0001,0005,CELLADD_REP,FAILED,,,,,,,10,0,0,8
"2017-08-23 16:37:15,404",5236,0005,0001,0001,0005,CELLADD_REP,TXED,,,,,,,11,1,1,5
"2017-08-23 16:37:16,345",5302,0007,0009,0007,0009,CELLADD_REQ,ENQUEUED,7,5,9,0,,,12,1,0,1
"2017-08-23 16:37:16,376",5302,000e,0009,000e,0009,CELLADD_REQ,ENQUEUED,8,11,7,2,9,6,13,1,0,1
"2017-08-23 16:37:16,560",5313,0007,0009,0007,0009,CELLADD_REQ,TXED,,,,,,,,,1,2
"2017-08-23 16:37:16,563",5313,000e,0009,000e,0009,CELLADD_REQ,TXED,,,,,,,,,1,2
"2017-08-23 16:37:16,745",5324,0007,0009,0007,0009,CELLADD_REQ,TXED,,,,,,,12,1,2,2
"2017-08-23 16:37:16,766",5324,0007,0009,0009,0007,CELLADD_REQ,RCVD,,,,,,,12,1,0,3
"2017-08-23 16:37:16,768",5324,0007,0009,0009,0007,CELLADD_REP,ENQUEUED,9,0,,,,,12,1,0,4
"2017-08-23 16:37:16,733",5324,000e,0009,000e,0009,CELLADD_REQ,TXED,,,,,,,,,2,2
"2017-08-23 16:37:16,951",5335,0007,0009,0007,0009,CELLADD_REP,RCVD,9,0,,,,,12,1,0,6
"2017-08-23 16:37:16,968",5339,0009,0001,0009,0001,CELLADD_REQ,TXED,4,9,,,,,7,1,0,2
"2017-08-23 16:37:16,978",5339,0009,0001,0001,0009,CELLADD_REQ,RCVD,,,,,,,7,1,0,3
"2017-08-23 16:37:17,153",5346,000e,0009,000e,0009,CELLADD_REQ,TXED,,,,,,,13,1,3,2
"2017-08-23 16:37:17,359",5357,000e,0009,000e,0009,CELLADD_REQ,ENQUEUED,4,4,,,,,14,1,0,1
"2017-08-23 16:37:17,371",5357,000e,0009,0009,000e,CELLADD_REP,TXED,9,0,,,,,13,1,1,5
"2017-08-23 16:37:17,542",5368,000e,0009,000e,0009,CELLADD_REQ,TXED,,,,,,,,,1,2
"2017-08-23 16:37:17,548",5368,000b,000c,000b,000c,CELLADD_REQ,ENQUEUED,9,10,8,6,5,9,15,0,0,1
"2017-08-23 16:37:17,554",5368,0003,000c,0003,000c,CELLADD_REQ,ENQUEUED,6,7,10,15,8,6,16,1,0,1
"2017-08-23 16:37:17,739",5379,000e,0009,000e,0009,CELLADD_REQ,TXED,,,,,,,,,2,2
"2017-08-23 16:37:17,742",5379,0003,000c,0003,000c,CELLADD_REQ,TXED,,,,,,,,,1,2
"2017-08-23 16:37:18,266",5412,0003,000c,0003,000c,CELLADD_REQ,TXED,,,,,,,,,2,2
"2017-08-23 16:37:18,262",5412,000e,0009,000e,0009,CELLADD_REQ,TXED,,,,,,,14,1,3,2
"2017-08-23 16:37:18,449",5423,000e,0009,0009,000e,CELLADD_REP,TXED,,,,,,,,,1,5
"2017-08-23 16:37:18,627",5434,0003,000c,0003,000c,CELLADD_REQ,TXED,,,,,,,16,1,3,2
"2017-08-23 16:37:18,679",5434,000e,0009,0009,000e,CELLADD_REP,TXED,,,,,,,,,2,5
"2017-08-23 16:37:18,648",5434,0003,000c,000c,0003,CELLADD_REP,ENQUEUED,8,6,,,,,16,1,0,4
"2017-08-23 16:37:18,646",5434,0003,000c,000c,0003,CELLADD_REQ,RCVD,,,,,,,16,1,0,3
"2017-08-23 16:37:18,826",5445,0003,000c,0003,000c,CELLADD_REP,RCVD,8,6,,,,,16,1,0,6
"2017-08-23 16:37:18,836",5445,0003,000c,000c,0003,CELLADD_REP,TXED,8,6,,,,,16,1,1,5
"2017-08-23 16:37:18,837",5445,000c,0001,000c,0001,CELLADD_REQ,ENQUEUED,9,2,,,,,17,0,0,1
"2017-08-23 16:37:18,944",5452,000c,0001,000c,0001,CELLADD_REQ,TXED,7,4,,,,,17,0,1,2
"2017-08-23 16:37:18,911",5452,000c,0001,0001,000c,CELLADD_REQ,RCVD,,,,,,,17,0,0,3
"2017-08-23 16:37:19,615",5500,000c,0001,000c,0001,CELLADD_REP,FAILED,4,9,,,,,17,0,0,8
"2017-08-23 16:37:19,811",5511,000e,0009,000e,0009,CELLADD_REQ,ENQUEUED,9,15,5,9,,,18,1,0,1
"2017-08-23 16:37:19,824",5511,000e,0009,0009,000e,CELLADD_REP,TXED,9,0,,,,,14,1,3,5
"2017-08-23 16:37:20,000",5522,000e,0009,000e,0009,CELLADD_REQ,TXED,,,,,,,,,1,2
"2017-08-23 16:37:20,313",5544,000e,0009,000e,0009,CELLADD_REQ,TXED,,,,,,,18,1,2,2
"2017-08-23 16:37:20,529",5555,000e,0009,000e,0009,CELLADD_REQ,ENQUEUED,9,7,6,1,,,19,1,0,1
"2017-08-23 16:37:20,556",5555,000e,0009,0009,000e,CELLADD_REP,TXED,9,0,,,,,18,1,1,5
"2017-08-23 16:37:20,661",5566,000e,0009,000e,0009,CELLADD_REQ,TXED,,,,,,,19,1,1,2
"2017-08-23 16:37:20,829",5577,000e,0009,0009,000e,CELLADD_REP,TXED,9,0,,,,,19,1,1,5
"2017-08-23 16:37:20,822",5577,000e,0009,000e,0009,CELLADD_REQ,ENQUEUED,7,1,5,9,,,20,1,0,1
"2017-08-23 16:37:20,994",5588,000e,0009,000e,0009,CELLADD_REQ,TXED,,,,,,,,,1,2
"2017-08-23 16:37:21,163",5599,000c,0001,0001,000c,CELLADD_REP,TXED,,,,,,,,,1,5
"2017-08-23 16:37:21,348",5609,0009,0001,0009,0001,CELLADD_REQ,ENQUEUED,5,9,,,,,21,1,0,1
"2017-08-23 16:37:21,343",5610,0009,0001,0001,0009,CELLADD_REQ,RCVD,,,,,,,21,1,0,3
"2017-08-23 16:37:21,355",5610,0009,0001,0009,0001,CELLADD_REQ,TXED,4,9,,,,,21,1,1,2
"2017-08-23 16:37:21,514",5621,000e,0009,000e,0009,CELLADD_REQ,TXED,,,,,,,20,1,2,2
"2017-08-23 16:37:21,491",5621,0009,0001,0009,0001,CELLADD_REQ,FAILED,,,,,,,21,1,0,7
"2017-08-23 16:37:21,493",5621,000b,000c,000b,000c,CELLADD_REQ,ENQUEUED,8,4,6,3,,,22,0,0,1
"2017-08-23 16:37:21,653",5632,000e,0009,000e,0009,CELLADD_REQ,ENQUEUED,8,12,6,3,,,23,1,0,1
"2017-08-23 16:37:21,695",5632,000e,0009,0009,000e,CELLADD_REP,TXED,9,0,,,,,20,1,1,5
"2017-08-23 16:37:21,841",5643,000e,0009,000e,0009,CELLADD_REQ,TXED,,,,,,,23,1,1,2
"2017-08-23 16:37:22,053",5654,000e,0009,000e,0009,CELLADD_REQ,ENQUEUED,5,7,5,4,,,24,1,0,1
"2017-08-23 16:37:22,063",5654,000e,0009,0009,000e,CELLADD_REP,TXED,9,0,,,,,23,1,1,5
"2017-08-23 16:37:22,284",5665,000e,0009,000e,0009,CELLADD_REQ,TXED,,,,,,,24,1,1,2
"2017-08-23 16:37:22,482",5676,000e,0009,000e,0009,CELLADD_REQ,ENQUEUED,10,8,,,,,25,1,0,1
"2017-08-23 16:37:22,490",5676,000e,0009,0009,000e,CELLADD_REP,TXED,9,0,,,,,24,1,1,5
"2017-08-23 16:37:22,656",5687,000e,0009,000e,0009,CELLADD_REQ,TXED,,,,,,,25,1,1,2
"2017-08-23 16:37:22,805",5698,000e,0009,000e,0009,CELLADD_REQ,ENQUEUED,10,15,7,8,,,26,1,0,1
"2017-08-23 16:37:22,814",5698,000e,0009,0009,000e,CELLADD_REP,TXED,9,0,,,,,25,1,1,5
"2017-08-23 16:37:22,986",5709,000e,0009,000e,0009,CELLADD_REQ,TXED,,,,,,,,,1,2
"2017-08-23 16:37:23,153",5724,000c,0001,000c,0001,CELLADD_REQ,ENQUEUED,4,10,,,,,27,1,0,1
"2017-08-23 16:37:23,212",5727,000c,0001,0001,000c,CELLADD_REQ,RCVD,,,,,,,27,1,0,3
